City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Pilar,BR,-9.5972,-35.9567,76.93,77,96,8.37,overcast clouds
274,Daru,PG,-9.0763,143.2092,85.53,61,63,10.42,broken clouds
275,Kalmunai,LK,7.4167,81.8167,76.73,80,90,9.13,overcast clouds
276,Narsaq,GL,60.9167,-46.05,19.62,96,100,6.8,light snow
277,Isla Mujeres,MX,21.2311,-86.731,71.17,71,40,20.6,scattered clouds
278,Banes,CU,20.9625,-75.7186,79.41,78,0,4.94,clear sky
279,Zhanaozen,KZ,43.3,52.8,26.2,87,83,7.9,broken clouds
280,Aykhal,RU,66.0,111.5,-8.54,52,62,1.81,broken clouds
281,Sur,OM,22.5667,59.5289,70.74,69,0,12.48,clear sky
282,Erdemli,TR,36.605,34.3084,51.75,69,24,6.35,few clouds
283,Laguna,US,38.421,-121.4238,74.64,45,0,5.75,clear sky
284,Orchard Homes,US,46.8633,-114.0484,38.32,57,0,1.01,clear sky
285,Fairview,US,40.8126,-73.999,30.02,66,100,13.8,overcast clouds
286,Namibe,AO,-15.1961,12.1522,74.12,83,100,1.43,overcast clouds
287,Pacifica,US,37.6138,-122.4869,76.33,65,75,10.36,broken clouds
288,Necochea,AR,-38.5473,-58.7368,60.04,52,0,5.41,clear sky
289,Salinopolis,BR,-0.6136,-47.3561,77.67,89,100,9.4,light rain
290,San Policarpo,PH,12.1791,125.5072,80.83,73,100,12.84,overcast clouds
291,Bandiagara,ML,14.3501,-3.6104,68.59,15,4,9.55,clear sky
292,Smiltene,LV,57.4244,25.9016,33.55,78,100,11.59,overcast clouds
293,Kailua,US,21.4022,-157.7394,80.58,59,0,12.66,clear sky
294,Lompoc,US,34.6391,-120.4579,79.12,79,0,6.91,clear sky
295,Diffa,NE,13.3154,12.6113,68.65,13,13,8.72,few clouds
296,Koungou,YT,-12.7336,45.2042,76.71,94,0,2.3,clear sky
297,Zhigansk,RU,66.7697,123.3711,-37.01,100,41,1.3,scattered clouds
298,Jumla,NP,29.2747,82.1838,27.5,65,0,6.82,clear sky
299,Wajid,SO,3.8093,43.2471,72.73,58,100,11.97,overcast clouds
300,Codrington,AU,-38.2667,141.9667,70.34,62,33,10.31,scattered clouds
301,Krasnovka,RU,48.8177,40.0923,18.07,95,43,3.74,scattered clouds
302,Vardo,NO,70.3705,31.1107,23.9,90,100,18.16,light snow
303,Aklavik,CA,68.2191,-135.0107,-24.77,98,100,10.04,light snow
304,Maceio,BR,-9.6658,-35.7353,78.24,83,20,4.61,few clouds
305,Ratnagiri,IN,16.9833,73.3,69.91,61,6,7.16,clear sky
306,Saint George,US,37.1041,-113.5841,66.67,14,0,0.0,clear sky
307,Cubara,CO,7.0008,-72.1085,73.54,73,85,4.0,overcast clouds
308,Tateyama,JP,34.9833,139.8667,46.02,72,99,23.53,overcast clouds
309,Nehe,CN,48.4833,124.8333,-4.95,99,94,5.82,overcast clouds
310,Ponta Delgada,PT,37.7333,-25.6667,59.5,67,75,6.91,broken clouds
311,Bissau,GW,11.8636,-15.5977,74.62,60,0,3.51,clear sky
312,Mulege,MX,26.8833,-111.9833,69.58,36,5,6.38,clear sky
313,Manzanillo,CU,20.3433,-77.1167,75.38,82,6,6.55,clear sky
314,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,82,40,5.1,scattered clouds
