City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Natitingou,BJ,76.96,few clouds,10.3042,1.3796,Auberge Centrale
648,Jambi,ID,77.7,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
654,Sao Joao Da Barra,BR,76.32,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
656,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
659,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
661,Pombal,BR,77.18,overcast clouds,-6.7703,-37.8017,Pousada Shalom
666,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
674,Tecoanapa,MX,80.38,overcast clouds,16.5167,-98.75,Hotel Manglares
676,Rockhampton,AU,85.89,scattered clouds,-23.3833,150.5,Mercure Rockhampton
678,Bida,NG,78.78,clear sky,9.0833,6.0167,Royal Suite
680,Maragogi,BR,80.37,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
